#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 369.774 103306 82583 96185 7051 65968 16129
5048 382.542 97425 74497 86487 10005 56977 16991
5040 369.774 104676 81677 94159 9184 67348 13715
5048 382.542 104982 72460 93840 7704 59162 13032
5040 369.774 98273 75230 87777 6714 61927 12802
5048 382.542 98385 74004 88043 9283 59046 14517
5040 369.774 111900 79229 103076 7153 66577 12353
5048 382.542 93465 66526 87646 5670 55756 10154
5048 382.542 103608 70821 86559 9732 55543 14539
5040 369.774 116431 81704 105749 8787 64561 16929
5040 369.774 118378 86773 99898 14581 65900 20630
5048 382.542 95186 75051 78925 12094 55608 19143
5040 369.774 104680 85393 92053 10510 67713 17131
5048 382.542 102303 75153 91238 10265 57250 17651
5040 369.774 118754 94897 105825 9356 76968 17476
5048 382.542 103195 85716 88853 9327 68446 16800
5040 369.774 93097 77568 84238 8915 59503 17747
5048 382.542 110710 83663 93722 13959 61858 21068
5040 369.774 116228 94754 110099 9563 73670 20113
5048 382.542 111060 82464 95414 12220 62738 19196
5040 369.774 126569 99938 114536 10945 78491 20845
5048 382.542 108052 78174 94747 9374 64033 13463
5040 369.774 104036 82443 99213 7104 63460 18460
5048 382.542 92602 70120 81510 9849 51440 18205
5040 369.774 100457 77256 82507 12278 58223 18705
5048 382.542 93803 74186 80265 11452 57090 16682
5040 369.774 116793 85132 111362 7960 69342 15430
5048 382.542 96481 71886 90028 6261 60122 11063
5040 369.774 124896 89317 113283 7915 73699 14734
5048 382.542 101769 80565 91439 8668 63423 16333
5040 369.774 122546 94393 112611 11184 76201 17505
5048 382.542 120999 88309 104004 9652 71677 16095
5040 369.774 100123 79064 90760 7537 63555 14692
5048 382.542 93810 76453 84262 9166 61742 14196
5040 369.774 120043 95472 109414 13722 76313 18579
5048 382.542 97504 80447 88201 9660 61813 18494
5040 369.774 116663 93779 104005 11430 71581 21439
5048 382.542 103930 81172 87930 11926 61373 19685
5040 369.774 119340 93619 106450 11249 72791 20278
5048 382.542 98633 82240 85492 10769 65078 16610
5040 369.774 120624 95677 107736 14943 76294 18786
5048 382.542 101046 85727 90547 8340 68193 16697
5040 369.774 114642 92161 105469 9780 73195 18486
5048 382.542 103104 79876 92945 9754 63082 15914
5040 369.774 105556 78385 94957 9776 59761 17978
5048 382.542 104188 76651 92382 10556 57964 18239
5040 369.774 88567 76353 79344 8101 58532 17283
