#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 827.077 6708 5828 5280 1349 3110 2229
5048 775.415 8851 6441 7411 1462 3213 2757
5040 827.077 5830 4494 5138 703 2158 2022
5048 775.415 7957 5382 6921 645 2837 2044
5040 827.077 5303 4922 2698 2427 2178 2386
5048 775.415 5028 5820 4348 766 3017 2486
5040 827.077 7654 4231 6628 848 2232 1683
5048 775.415 10291 5767 7880 2259 3468 1907
5040 827.077 5794 4367 5220 476 2422 1708
5048 775.415 10157 5610 8574 1478 3761 1470
5040 827.077 8981 4625 8110 333 3047 1422
5048 775.415 11270 6067 9885 650 4206 1398
5040 827.077 5292 2381 4969 0 2179 0
5048 775.415 5736 5585 4984 168 3373 1926
5040 827.077 7530 4661 5300 1974 1877 2446
5048 775.415 8511 5775 6526 2053 3220 2306
5040 827.077 6003 3997 4621 1353 2215 1484
5048 775.415 5792 6097 5322 519 3928 1795
5040 827.077 5720 4400 5077 748 2838 1062
5048 775.415 7517 5006 6813 717 3342 1411
5040 827.077 5035 5551 3957 1030 3603 1467
5048 775.415 6350 6342 5471 1025 4317 1554
5040 827.077 4823 4882 3020 1529 2364 1974
5048 775.415 5088 5214 4110 970 2965 1771
5040 827.077 4214 5063 2442 1871 2041 2450
5048 775.415 5911 5958 4179 1788 3273 2482
5040 827.077 3339 5105 1950 1496 2946 1884
5048 775.415 9794 7031 7202 2720 3526 3030
5040 827.077 6819 4454 5648 884 2679 1594
5048 775.415 2933 6252 2066 1000 3468 2434
5040 827.077 5243 4617 4098 922 1991 2140
5048 775.415 11742 6987 9997 1569 3893 2607
5040 827.077 7484 4536 5945 1644 2758 1454
5048 775.415 5147 5781 4167 885 3749 1876
5040 827.077 5227 3691 3883 1056 2238 1162
5048 775.415 7028 5254 6411 763 3001 1859
5040 827.077 9913 5043 8505 1588 3486 1285
5048 775.415 11049 7439 9283 1657 4430 2485
5040 827.077 5531 3996 3773 1744 2040 1628
5048 775.415 9489 6673 8772 748 3828 2457
5040 827.077 3107 3783 1816 1033 2362 972
5048 775.415 8116 6431 6828 1470 3340 2802
5040 827.077 5932 4443 3849 1878 2110 1998
5048 775.415 5993 7101 4298 1842 3448 3405
5040 827.077 3318 4098 2543 719 2609 1051
5048 775.415 2961 3756 2535 362 2451 872
5040 827.077 5683 4507 4493 1257 2770 1356
5048 775.415 7093 5687 6174 833 3511 1714
5048 775.415 6252 4955 3034 1015 3013 1543
5040 827.077 4401 4028 4221 208 2642 1146
5040 827.077 5725 3393 3597 905 2169 997
5048 775.415 5800 5199 5119 816 3332 1614
5040 827.077 7324 4207 4282 1825 2303 1586
5048 775.415 6458 7227 4090 1738 3742 3052
5040 827.077 5175 3083 4305 637 2656 126
5048 775.415 6172 5169 5375 693 3581 1150
