#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 199.383 2232 224361 2047 92 206599 32188
5048 242.745 1116 135537 1084 67 110509 24482
5048 242.745 1142 140186 964 85 112752 26877
5040 199.383 2298 227773 2146 101 206033 37713
5040 199.383 2932 255692 2850 46 263621 20704
5048 242.745 1584 157916 1480 44 139906 17327
5040 199.383 2350 225100 2146 69 208537 26967
5048 242.745 1338 137149 1225 58 117586 19138
5040 199.383 2562 235608 2311 129 218897 36562
5048 242.745 1361 140384 1190 72 116871 23232
5048 242.745 1151 131218 1046 50 108952 21881
5040 199.383 2324 227869 2144 111 209893 29221
5040 199.383 1770 196995 1568 120 169434 30528
5048 242.745 999 118598 845 84 94545 23355
5040 199.383 2504 236407 2344 83 222107 31830
5048 242.745 1380 144018 1242 84 120875 22753
5040 199.383 1811 175833 1590 111 146414 28640
5048 242.745 1086 111977 981 53 94339 17495
5048 242.745 1274 127967 1130 39 114325 12907
5040 199.383 2268 221806 2124 69 213517 19868
5040 199.383 1558 172977 1365 108 141901 30548
5048 242.745 1094 122595 927 60 97754 24680
5040 199.383 2276 229674 2057 127 210866 32920
5048 242.745 1414 156014 1283 99 126897 28982
5040 199.383 1939 203988 1792 90 178351 30926
5048 242.745 1162 120299 990 45 97492 22358
5040 199.383 2926 258632 2730 121 265513 41766
5048 242.745 1578 178974 1370 99 152958 25546
5040 199.383 2897 249978 2704 103 254725 33036
5048 242.745 1581 171115 1440 82 142539 28067
5040 199.383 2351 224940 2169 90 206782 29886
5048 242.745 1415 150214 1300 73 125887 23673
5040 199.383 2141 210180 1991 59 189759 25553
5048 242.745 1093 129723 985 59 107425 21805
5040 199.383 1801 190748 1642 66 167896 22811
5048 242.745 1033 115662 949 57 97282 17878
5040 199.383 1990 209277 1844 81 194258 21276
5048 242.745 1224 116089 1123 35 97615 18153
5040 199.383 1652 198528 1481 116 165783 37374
5048 242.745 1013 120947 880 99 93475 27029
5040 199.383 2224 239124 2038 137 217519 44675
5048 242.745 1400 156067 1194 111 126612 29142
5040 199.383 1892 196939 1636 144 171406 26990
5048 242.745 1283 122778 1076 63 102425 19944
5040 199.383 2903 256997 2706 79 265830 27987
5048 242.745 1794 170717 1613 78 148418 21807
5040 199.383 2489 242737 2351 94 240023 29185
5048 242.745 1642 158563 1439 83 136967 21267
5040 199.383 2545 232891 2381 84 228944 20225
5048 242.745 1323 130911 1151 56 111136 19234
5040 199.383 1631 185103 1427 113 154433 30531
5048 242.745 1076 118899 917 81 96383 22350
5040 199.383 1714 182755 1481 83 155626 27639
5048 242.745 998 110336 907 43 93369 16789
5040 199.383 1945 218912 1798 77 201972 25119
5048 242.745 1115 122063 1027 43 103298 18308
5040 199.383 2579 242123 2419 104 234401 28682
5048 242.745 1349 154928 1269 61 131729 23035
5040 199.383 3198 261196 2994 128 278701 33909
5048 242.745 1818 181535 1629 89 156037 25462
5048 242.745 1893 196766 1701 93 168756 27340
5040 199.383 3494 282387 3261 159 318724 43641
5040 199.383 1562 193303 1411 119 157318 38395
5048 242.745 878 109708 757 94 84007 25180
5040 199.383 2010 216077 1834 162 189636 35373
5048 242.745 1249 134854 1131 74 108648 26061
5040 199.383 2916 269015 2699 130 285031 40298
5048 242.745 1917 193327 1706 117 165773 28357
5040 199.383 1927 209009 1805 83 184667 29698
5048 242.745 1086 130939 974 55 110845 19819
5040 199.383 2080 228069 1948 74 216326 24474
