#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 199.383 1567 165488 1496 60 146791 17805
5048 242.745 999 96331 875 40 79703 16342
5040 199.383 1266 145885 1159 93 120936 24808
5048 242.745 734 93164 643 47 75320 17638
5040 199.383 2812 242323 2658 91 245632 25653
5048 242.745 1697 155607 1549 52 135589 19678
5040 199.383 3059 260535 2871 109 280712 31155
5048 242.745 1835 178742 1703 44 158433 19908
5040 199.383 1927 204792 1793 97 181450 26963
5048 242.745 1197 123630 1077 75 102452 20832
5040 199.383 2992 240494 2862 50 245358 14656
5048 242.745 1556 145881 1480 32 134120 10807
5040 199.383 1632 157794 1419 97 130911 26117
5048 242.745 889 103704 752 78 82860 20183
5040 199.383 2885 245186 2716 73 253329 22784
5048 242.745 1836 177951 1707 44 162018 15871
5040 199.383 2623 240682 2531 41 242163 19577
5048 242.745 1647 154909 1589 38 139791 14383
5040 199.383 2038 195999 1869 83 176818 21151
5048 242.745 1057 99580 993 15 88096 10996
5040 199.383 2362 209050 2138 121 188391 26085
5048 242.745 1154 130846 1028 66 107985 22771
5040 199.383 2145 214364 1999 73 196192 27191
5048 242.745 1190 127874 1096 58 111492 16208
5040 199.383 1970 198729 1757 84 178182 22732
5048 242.745 1055 116856 879 48 99138 16943
5040 199.383 2041 197800 1916 57 181333 20935
5048 242.745 1067 110837 1032 30 97953 12754
5040 199.383 2022 199643 1931 50 185271 18813
5048 242.745 1023 111751 943 47 95873 15741
5040 199.383 2037 198283 1912 54 179252 19877
5048 242.745 992 118541 923 56 100894 17105
5048 242.745 1161 119487 1019 86 94959 23984
5040 199.383 1954 197203 1821 63 173760 25544
5040 199.383 2307 223992 2212 73 210339 26087
5048 242.745 1464 131000 1379 53 113775 17173
5040 199.383 2034 199803 1974 50 186686 16306
5048 242.745 1092 116259 999 39 99770 16189
5040 199.383 3189 261562 3054 63 283639 20564
5048 242.745 1854 170006 1748 33 154493 14833
5040 199.383 1616 151908 1476 96 124075 27468
5048 242.745 941 97703 800 38 81650 15477
5040 199.383 1300 149705 1184 80 121917 27249
5048 242.745 854 93675 752 66 75638 17670
5040 199.383 1519 158473 1392 63 133863 24462
5048 242.745 814 86813 704 30 71360 15275
5040 199.383 1690 182527 1579 62 160399 21685
5048 242.745 937 103069 812 50 85257 17530
5040 199.383 1990 208655 1848 101 188339 26518
5048 242.745 1294 117861 1155 72 98758 18823
5040 199.383 3190 255327 3018 72 266702 23529
5048 242.745 1735 173812 1586 42 156602 16771
5040 199.383 1998 203350 1829 60 191228 16516
5048 242.745 1306 118178 1223 11 106207 11865
5040 199.383 2327 234743 2204 87 225892 29975
5048 242.745 1482 135708 1320 36 116006 19568
5040 199.383 1925 216314 1757 73 194767 29202
5048 242.745 1276 128780 1115 64 105878 22386
5040 199.383 2807 253345 2645 120 259885 32433
5048 242.745 1587 180830 1435 81 155924 24329
5040 199.383 2452 236353 2315 82 230949 24085
5048 242.745 1260 137978 1113 63 118723 18564
5048 242.745 1041 120414 943 63 100269 19561
5040 199.383 1909 193469 1822 74 169385 25722
5040 199.383 2272 222345 2099 102 206696 28638
5048 242.745 1136 126260 1059 64 106033 19775
5040 199.383 2151 226531 1963 94 207273 29607
5048 242.745 1252 135492 1128 48 116272 18557
5040 199.383 1336 147398 1204 97 123717 23094
5048 242.745 816 89353 760 24 75388 13508
5040 199.383 1684 184880 1586 62 161797 23187
5048 242.745 954 102906 841 37 87882 14859
5040 199.383 2402 221745 2270 74 214341 22810
5048 242.745 1266 132034 1140 41 115198 16967
5040 199.383 2692 235881 2446 72 232578 21935
5048 242.745 1425 137063 1300 52 123358 13222
5040 199.383 2708 231679 2532 76 226557 22440
5048 242.745 1443 154331 1312 57 133216 21045
5040 199.383 2097 212526 1964 61 194833 21301
5048 242.745 1197 117710 1091 59 100891 16324
5040 199.383 1625 184923 1540 68 163720 22239
5048 242.745 838 109849 768 57 91864 17664
5040 199.383 1810 176019 1700 84 153423 23008
5048 242.745 979 105925 883 47 88906 17170
5040 199.383 2446 224705 2346 44 220159 15192
5048 242.745 1279 137954 1242 4 127006 10407
5040 199.383 1623 164344 1406 97 137111 27189
5048 242.745 891 93939 791 37 76565 17134
5040 199.383 2172 193174 1963 104 168658 24995
5048 242.745 1026 111230 922 44 94004 17197
5040 199.383 1652 180227 1479 102 151431 29123
5048 242.745 1078 110579 974 49 91710 18669
5040 199.383 2011 182025 1792 106 156583 26058
5048 242.745 952 105916 807 79 84005 21343
5048 242.745 1245 129607 1201 39 114160 15294
5040 199.383 2047 206287 1868 64 188799 20135
5040 199.383 3210 260758 3024 97 274768 27315
5048 242.745 1758 183284 1635 60 160923 21657
5040 199.383 2439 203006 2320 56 194807 13412
5048 242.745 1248 112836 1214 25 102501 10003
5040 199.383 1585 166818 1517 67 140692 25489
5048 242.745 873 94037 745 49 79809 14164
5040 199.383 1460 156229 1334 62 132340 23908
5048 242.745 735 93713 683 28 76778 16905
5040 199.383 2248 211815 2051 114 193956 26494
