#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 1426.8 935 20163 577 277 9593 10883
5048 1396.15 875 38268 343 523 18000 19775
5040 1426.8 509 13362 369 163 9710 3383
5048 1396.15 641 18824 239 354 8538 10766
5040 1426.8 916 23952 484 389 9745 13489
5048 1396.15 801 19539 648 159 13901 4897
5040 1426.8 1090 28001 871 139 18668 9157
5048 1396.15 969 28990 825 118 13005 15381
5040 1426.8 49 14847 66 0 14998 0
5048 1396.15 1209 33301 313 838 21006 12518
5040 1426.8 436 11632 260 265 6431 4774
5048 1396.15 302 14483 289 0 14475 0
5040 1426.8 490 22350 130 391 8213 13487
5048 1396.15 1085 37732 798 181 23982 14523
5040 1426.8 625 34657 311 242 24978 8617
5048 1396.15 1615 44313 932 685 20532 23797
5040 1426.8 1757 25577 720 312 14271 11457
5048 1396.15 1045 24728 886 135 23445 958
5040 1426.8 753 19430 560 207 10132 9557
5048 1396.15 1115 25564 790 238 10231 14803
5040 1426.8 1036 25737 1049 0 16988 8003
5048 1396.15 872 28466 611 188 11945 15767
5040 1426.8 559 30840 76 529 20106 11045
5048 1396.15 911 21363 878 0 18141 2380
5040 1426.8 902 31639 889 0 21700 9120
5048 1396.15 931 36807 591 322 13372 21470
5040 1426.8 372 27656 349 0 8199 18325
5048 1396.15 1056 16793 25 0 7877 8779
5040 1426.8 531 17698 304 242 16596 1459
5048 1396.15 3687 21732 360 475 10579 10924
5040 1426.8 2306 30093 1927 436 12977 18127
5048 1396.15 800 25458 731 159 16898 8540
5040 1426.8 847 21124 693 183 14555 5538
5048 1396.15 446 17490 369 0 15612 1888
5040 1426.8 679 33172 198 426 11321 21050
5048 1396.15 501 20034 350 183 11170 8541
5040 1426.8 1294 29308 705 626 18836 9824
5048 1396.15 609 17274 595 0 12205 4657
5040 1426.8 242 20116 181 0 8923 11042
5048 1396.15 606 26543 592 0 18129 8763
5040 1426.8 316 12554 386 0 12522 0
5048 1396.15 542 25498 385 168 9512 14865
5040 1426.8 -12 15995 4 0 10496 5638
5048 1396.15 1010 24705 665 351 11768 12316
5040 1426.8 1336 22437 1158 118 11952 10894
5048 1396.15 1198 33390 789 388 21860 10385
5040 1426.8 1165 18855 1303 0 13397 5186
5048 1396.15 622 15883 472 153 15152 0
