#station_id r_mc scin_hg_tot_sig wcd_hg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_hg_em_sig wcd_hg_mu_sig
5040 994.511 1531 61674 1157 327 34432 27371
5048 1016.81 1368 47155 1335 0 33361 12634
5040 994.511 1698 61191 1701 0 37488 20984
5048 1016.81 1523 55292 853 656 33663 22883
5040 994.511 2087 62751 1002 455 36592 26330
5048 1016.81 1026 39510 614 378 22565 16726
5040 994.511 3069 72188 2030 712 29839 41348
5048 1016.81 2192 51295 1212 892 32740 18486
5040 994.511 1526 29717 1241 441 17296 12176
5048 1016.81 872 37699 850 0 19390 17690
5040 994.511 1833 49634 1409 418 33530 16731
5048 1016.81 349 31514 291 0 30771 759
5040 994.511 2024 54035 1309 0 39091 14207
5048 1016.81 864 30644 520 385 17981 10943
5040 994.511 3178 53755 2679 168 40705 13736
5048 1016.81 1458 52991 1021 419 36139 16100
5040 994.511 1987 69967 1582 493 37054 32534
5048 1016.81 3117 42899 3082 93 28563 15104
5040 994.511 1526 54593 575 887 32521 22621
5048 1016.81 2982 53390 2532 450 33361 21511
5040 994.511 2071 52116 1166 778 34984 18179
5048 1016.81 1458 70662 843 410 43302 27310
5040 994.511 2949 41303 2199 315 30679 10405
5048 1016.81 1239 51088 1010 208 33692 16401
5040 994.511 1506 68822 1286 213 49982 18843
5048 1016.81 1579 56014 689 841 42425 13070
5040 994.511 1776 61348 997 660 28925 32970
5048 1016.81 1019 32317 930 188 25713 5703
5040 994.511 1379 57919 1113 220 32436 24404
5048 1016.81 306 39715 268 0 28133 10335
5040 994.511 2220 50736 1130 0 32731 17804
5048 1016.81 688 43452 630 0 18498 23825
5040 994.511 2052 71463 1255 827 59700 11427
5048 1016.81 1842 51769 1124 538 38129 13208
5040 994.511 2338 36888 1763 368 18387 18214
5048 1016.81 1252 36645 1068 221 35829 1250
5040 994.511 1698 66156 1519 199 39886 25779
5048 1016.81 1715 43231 1615 132 31938 11028
5040 994.511 4650 42714 1986 341 26702 15969
5048 1016.81 1031 39340 764 332 25934 12596
5040 994.511 3031 73167 2044 165 45034 28841
5048 1016.81 1984 43154 1356 577 24399 19020
5040 994.511 2578 38664 2158 424 22916 15802
5048 1016.81 827 29967 553 244 21419 7735
5040 994.511 1969 57396 1072 836 18668 37154
5048 1016.81 1163 35535 696 443 19773 15859
5040 994.511 2764 50530 2189 688 38592 13263
5048 1016.81 3717 57102 1732 755 25278 32107
5040 994.511 1071 47376 1047 0 37807 8856
5048 1016.81 1219 49005 1087 137 27384 20911
5040 994.511 2899 70332 2398 381 30569 39455
5048 1016.81 2569 52821 1978 731 28101 24477
5048 1016.81 793 43241 584 202 35566 7289
5040 994.511 2509 34464 1989 442 22718 11897
5040 994.511 1835 40412 1370 383 24869 15133
5048 1016.81 1205 41906 977 173 41601 1124
5040 994.511 1479 61736 1050 400 43344 17252
5048 1016.81 1273 45339 883 429 20694 26060
5040 994.511 1270 52427 994 0 26451 25295
5048 1016.81 1833 37308 1012 380 30989 6329
5040 994.511 1876 56510 1443 145 31983 23257
5048 1016.81 1717 45613 1487 200 29113 17323
5040 994.511 3261 82467 2733 460 46537 35704
5048 1016.81 1321 56169 901 320 33804 22367
5040 994.511 866 34142 734 120 19157 14337
5048 1016.81 1449 44296 556 581 21023 21450
5040 994.511 1055 38717 518 451 29599 8495
5048 1016.81 849 49091 497 0 21175 28134
5040 994.511 2471 59266 2112 335 24018 34893
5048 1016.81 2723 50206 1896 519 29887 19664
5040 994.511 2364 51840 1941 411 43706 6978
5048 1016.81 1321 34059 1058 190 27093 5568
5040 994.511 2174 70200 1450 643 28962 40796
5048 1016.81 2747 52068 2112 520 37459 14087
5040 994.511 2269 74537 1686 506 36956 36002
5048 1016.81 976 57062 726 177 30214 27133
5040 994.511 3209 63242 1926 1087 41286 21746
5048 1016.81 1912 89643 1087 811 48168 39253
5040 994.511 2992 48090 1320 798 29659 18299
5048 1016.81 1637 43531 1092 491 28541 13870
5040 994.511 1106 51028 1142 0 34525 16889
5048 1016.81 3707 58857 2209 1364 28129 30634
5040 994.511 733 45717 492 137 35025 11007
5048 1016.81 2049 38265 1339 617 24794 11681
5040 994.511 1517 38136 690 769 14858 22931
5048 1016.81 835 17748 510 278 12159 5002
5040 994.511 1858 46133 1123 598 37651 8442
5048 1016.81 1961 49302 1239 523 28041 20355
5040 994.511 1538 64901 995 477 32111 32568
5048 1016.81 2719 36330 2162 233 30723 5168
5048 1016.81 2587 63140 2043 525 26382 35489
5040 994.511 2522 91397 1021 1442 47076 44023
5040 994.511 2063 69027 1765 175 41865 27246
5048 1016.81 1070 55962 986 0 33977 19827
5040 994.511 2399 56548 961 1328 27880 27878
5048 1016.81 1804 33601 1343 503 23272 10672
5040 994.511 2834 38706 2243 0 21353 16927
5048 1016.81 397 60565 205 159 33660 24246
5040 994.511 3515 53923 1035 2731 34945 17890
5048 1016.81 3146 61562 1923 686 36347 23466
5040 994.511 3788 44181 3170 642 15869 29125
5048 1016.81 3382 28717 849 1657 15980 13077
5040 994.511 3268 55591 2736 522 39791 15499
5048 1016.81 2615 65446 1485 1207 24527 41563
5040 994.511 1269 78361 512 709 45115 31685
5048 1016.81 1675 60200 1178 461 27139 31878
5040 994.511 2010 41861 1388 0 30261 11188
5048 1016.81 1302 42558 944 344 28258 13829
5040 994.511 2604 70247 773 1257 35457 34821
5048 1016.81 2861 59871 1111 490 36003 23154
5040 994.511 2903 58794 1825 1008 26649 32522
5048 1016.81 2481 34428 1916 509 25130 8679
5040 994.511 1918 51483 1299 515 39606 13399
5048 1016.81 1982 42349 1745 152 33047 9820
5040 994.511 2085 59177 1076 970 35071 23696
5048 1016.81 841 54797 372 470 22126 31887
5040 994.511 1401 48296 1160 241 31395 17770
5048 1016.81 1108 40159 967 153 25033 15161
5040 994.511 1600 53905 1202 357 37883 14538
5048 1016.81 1627 47662 1403 145 27384 18768
5040 994.511 3811 55484 3489 231 50148 5271
5048 1016.81 1941 44050 1568 306 26113 18024
5040 994.511 2440 57198 1597 859 23325 33957
5048 1016.81 421 21476 404 0 21975 0
5040 994.511 3319 54858 2675 545 23476 30904
5048 1016.81 2904 81454 1796 1031 44078 38587
5040 994.511 2541 58870 1858 683 31929 25077
5048 1016.81 1928 48963 1825 190 31031 17733
5040 994.511 3552 70178 2246 1173 39404 29382
5048 1016.81 3399 43668 2228 1055 25534 16354
5040 994.511 3515 72100 2770 476 45756 26250
5048 1016.81 2006 57822 1429 511 34458 23751
5040 994.511 4496 46607 3799 428 39476 6599
5048 1016.81 1569 48668 1346 329 31433 18304
5040 994.511 1360 66925 918 438 32411 33453
5048 1016.81 2841 46989 1776 1123 20820 25537
5040 994.511 5440 39004 2556 1145 32282 5676
5048 1016.81 2112 37440 1957 132 30190 7616
5040 994.511 3214 52116 1596 1414 32939 18869
5048 1016.81 2363 44537 1733 551 35065 9321
5040 994.511 826 24987 686 148 18478 6045
5048 1016.81 116 31223 109 0 18581 12002
5040 994.511 1569 68331 1046 511 33125 36625
5048 1016.81 1479 28338 1206 292 19182 9564
5040 994.511 994 45589 801 208 26844 17839
5048 1016.81 5239 38001 2528 712 18314 20041
5040 994.511 1212 60469 812 405 33374 25605
5048 1016.81 785 42062 172 454 28203 14253
5040 994.511 2258 63396 1623 685 46805 16608
5048 1016.81 1480 62820 901 459 37423 24322
5040 994.511 3659 65571 2559 1078 41377 23128
5048 1016.81 2169 61977 1528 609 32268 30053
5040 994.511 1359 66490 1119 200 48595 17993
5048 1016.81 1984 63761 1357 585 32506 29693
5040 994.511 1940 67030 1137 829 49049 17462
5048 1016.81 3186 52995 2101 907 39695 11315
5040 994.511 1392 56564 732 645 31009 26226
5048 1016.81 2790 38489 1545 0 32131 6115
5040 994.511 2351 42572 2090 214 30825 10514
5048 1016.81 2057 30660 1701 262 25436 4686
5040 994.511 3839 45624 3158 633 21910 22266
5048 1016.81 2146 32704 2203 0 17195 13920
5040 994.511 1096 38441 712 0 24376 13482
5048 1016.81 980 47075 780 177 24136 21717
5040 994.511 1057 55903 742 0 38536 17021
5048 1016.81 1647 42080 1605 0 28470 13209
5040 994.511 2420 78911 1441 873 56175 21490
5048 1016.81 1246 33406 823 469 26616 6085
5040 994.511 715 52509 532 164 36619 15267
5048 1016.81 2381 43419 1574 750 26916 15716
5040 994.511 1666 53209 1154 521 30151 25071
5048 1016.81 1321 42866 876 320 21623 19419
5040 994.511 1168 26049 1139 0 24767 1529
