#0   1    2      3       4        5    6    7    8    9    10        11           12         13            14        15           16         17            18        19
#ID TA_E TA_ZEN TA_EAST TA_NORTH MIP0 MIP1 VEM0 VEM1 VEM2 UMQGS_AVG UMQGS_UC_STD UMEPOS_AVG UMEPOS_UC_STD CMQGS_AVG CMQGS_UC_STD CMEPOS_AVG CMEPOS_UC_STD AS_RHO_MC TA_RHO_MC
12 4.25 43.52 -1.238 0.650 8.07 8.70 15.321 20.594 20.986 3.94 0.77 3.31 0.78 1.69 0.45 1.78 0.52 1078 1079
13 3.61 40.74 -0.137 -0.896 27.88 26.95 37.599 41.137 42.252 1.28 0.09 1.64 0.14 2.25 0.15 2.31 0.15 703 668
34 4.57 38.44 -1.250 -0.134 18.87 18.15 24.550 26.361 24.444 6.55 0.26 5.45 0.24 3.72 0.14 3.80 0.16 1105 1079
49 4.58 38.28 -0.402 0.709 34.36 43.29 51.581 60.142 57.745 5.08 0.63 4.05 0.60 2.65 0.57 2.49 0.55 811 825
80 7.57 22.23 -0.407 1.667 6.88 5.97 7.970 7.384 5.195 1.75 0.07 3.72 0.10 1.88 0.04 3.80 0.07 1580 1608
90 3.30 5.41 -0.966 0.279 18.44 14.66 29.658 32.849 33.450 6.68 0.53 6.21 0.51 3.74 0.35 4.23 0.39 1016 994
105 4.84 31.94 -0.328 0.234 502.87 544.61 465.144 503.049 548.793 3.25 0.73 2.75 0.83 2.83 0.88 2.78 0.87 382 369
111 4.96 39.92 0.129 1.548 5.66 11.00 7.096 5.919 7.102 2.15 1.11 1.94 0.98 1.89 0.86 2.00 0.90 1318 1361
119 4.93 32.64 0.613 0.512 47.74 55.21 109.112 112.822 90.987 10.73 1.57 9.13 1.40 6.25 1.03 6.69 1.10 775 827
154 3.13 40.82 -0.246 -0.037 808.54 816.75 882.748 754.737 962.427 1.41 0.65 1.17 0.43 1.09 0.33 1.25 0.44 242 199
165 4.24 22.79 -0.536 0.808 11.06 6.25 12.673 11.231 11.322 1.75 0.76 1.85 0.71 2.22 0.58 2.13 0.59 967 982
181 3.24 16.29 -0.023 -0.361 64.59 72.81 82.261 79.912 96.314 10.54 0.14 10.71 0.13 10.10 0.12 10.42 0.13 355 317
188 3.11 41.15 0.742 0.680 11.71 13.36 46.895 47.384 57.561 8.04 1.80 6.76 1.61 4.22 1.17 4.21 1.19 857 901
