#0   1      2      3        4     5    6    7    8    9
#ID TA_E TA_ZEN TA_EAST TA_NORTH MIP0 MIP1 VEM0 VEM1 VEM2
1 1.08 37.80 0.271 -1.114 5.61 5.98 11.826 11.794 11.165 
9 3.42 23.40 -0.876 0.960 6.63 4.79 15.230 18.851 12.917
12 4.25 43.52 -1.238 0.650 8.07 8.70 15.321 20.594 20.986
13 3.61 40.74 -0.137 -0.896 27.88 26.95 37.599 41.137 42.252
34 4.57 38.44 -1.250 -0.134 18.87 18.15 24.550 26.361 24.444
49 4.58 38.28 -0.402 0.709 34.36 43.29 51.581 60.142 57.745
53 2.05 37.44 -0.037 0.997 16.24 11.11 22.695 20.905 18.452
74 10.18 35.30 1.550 -0.205 2.23 5.54 14.663 13.979 15.129
80 7.57 22.23 -0.407 1.667 6.88 5.97 7.970 7.384 5.195
86 4.58 28.50 1.443 -1.212 2.57 0.24 0.957 1.005 1.158
90 3.30 5.41 -0.966 0.279 18.44 14.66 29.658 32.849 33.450
96 2.22 38.66 0.836 -0.431 28.01 31.43 54.456 47.582 51.450
105 4.84 31.94 -0.328 0.234 502.87 544.61 465.144 503.049 548.793
107 4.86 25.37 -0.008 -1.686 0.90 5.43 0.854 0.348 0.585
111 4.96 39.92 0.129 1.548 5.66 11.00 7.096 5.919 7.102
114 2.46 32.04 -0.287 -0.033 410.58 361.97 367.135 314.477 335.064
119 4.93 32.64 0.613 0.512 47.74 55.21 109.112 112.822 90.987
122 1.92 35.83 1.061 0.395 5.09 3.27 3.312 5.203 3.455
145 2.74 44.53 -0.875 -0.431 6.04 5.21 13.790 14.466 15.222
149 1.74 28.57 1.522 0.124 2.89 0.35 2.662 2.124 3.191
154 3.13 40.82 -0.246 -0.037 808.54 816.75 882.748 754.737 962.427
156 4.88 36.28 -0.088 1.741 3.74 4.61 5.019 6.778 7.468
157 2.01 18.77 -1.381 0.377 3.51 1.30 4.934 6.025 4.692
165 4.24 22.79 -0.536 0.808 11.06 6.25 12.673 11.231 11.322
181 3.24 16.29 -0.023 -0.361 64.59 72.81 82.261 79.912 96.314
188 3.11 41.15 0.742 0.680 11.71 13.36 46.895 47.384 57.561
