#0   1      2      3        4     5    6    7    8    9
#ID TA_E TA_ZEN TA_EAST TA_NORTH MIP0 MIP1 VEM0 VEM1 VEM2
9 3.42 23.40 -0.876 0.960 6.63 4.79 15.230 18.851 12.917
12 4.25 43.52 -1.238 0.650 8.07 8.70 15.321 20.594 20.986
13 3.61 40.74 -0.137 -0.896 27.88 26.95 37.599 41.137 42.252
34 4.57 38.44 -1.250 -0.134 18.87 18.15 24.550 26.361 24.444
49 4.58 38.28 -0.402 0.709 34.36 43.29 51.581 60.142 57.745
74 10.18 35.30 1.550 -0.205 2.23 5.54 14.663 13.979 15.129
80 7.57 22.23 -0.407 1.667 6.88 5.97 7.970 7.384 5.195
90 3.30 5.41 -0.966 0.279 18.44 14.66 29.658 32.849 33.450
105 4.84 31.94 -0.328 0.234 502.87 544.61 465.144 503.049 548.793
111 4.96 39.92 0.129 1.548 5.66 11.00 7.096 5.919 7.102
119 4.93 32.64 0.613 0.512 47.74 55.21 109.112 112.822 90.987
154 3.13 40.82 -0.246 -0.037 808.54 816.75 882.748 754.737 962.427
