#0   1      2      3        4     5    6    7    8    9            10                11               12             13                    14              15           16     17
#ID TA_E TA_ZEN TA_EAST TA_NORTH MIP0 MIP1 VEM0 VEM1 VEM2 QGSJETII-04_UMAHAL QGSJETII-03_UMAHAL EPOS-LHC_UMAHAL QGSJETII-04_CMAHAL QGSJETII-03_CMAHAL EPOS-LHC_CMAHAL RHOMC_AS RHOMC_TA
1 1.08 37.80 0.271 -1.114 5.61 5.98 11.826 11.794 11.165 4.76 5.30 4.31 2.59 3.01 2.75 1012 995
9 3.42 23.40 -0.876 0.960 6.63 4.79 15.230 18.851 12.917 5.17 6.37 4.84 2.73 3.44 3.00 1210 1218
12 4.25 43.52 -1.238 0.650 8.07 8.70 15.321 20.594 20.986 3.93 4.76 3.31 1.66 2.46 1.76 1078 1079
13 3.61 40.74 -0.137 -0.896 27.88 26.95 37.599 41.137 42.252 1.24 1.10 1.62 2.24 1.83 2.30 703 668
34 4.57 38.44 -1.250 -0.134 18.87 18.15 24.550 26.361 24.444 6.55 7.64 5.45 3.71 4.44 3.80 1105 1079
49 4.58 38.28 -0.402 0.709 34.36 43.29 51.581 60.142 57.745 5.02 6.12 3.98 2.60 3.22 2.43 811 825
53 2.05 37.44 -0.037 0.997 16.24 11.11 22.695 20.905 18.452 2.85 3.34 2.43 1.36 1.61 1.40 796 823
74 10.18 35.30 1.550 -0.205 2.23 5.54 14.663 13.979 15.129 2.76 3.19 2.20 0.92 1.24 1.04 1423 1442
80 7.57 22.23 -0.407 1.667 6.88 5.97 7.970 7.384 5.195 1.75 3.75 3.72 1.88 3.97 3.80 1580 1608
86 4.58 28.50 1.443 -1.212 2.57 0.24 0.957 1.005 1.158 0.47 0.71 0.65 0.64 0.74 0.59 1846 1843
90 3.30 5.41 -0.966 0.279 18.44 14.66 29.658 32.849 33.450 6.65 7.70 6.20 3.71 4.45 4.21 1016 994
96 2.22 38.66 0.836 -0.431 28.01 31.43 54.456 47.582 51.450 9.76 10.40 9.03 5.80 6.46 6.04 772 793
105 4.84 31.94 -0.328 0.234 502.87 544.61 465.144 503.049 548.793 3.08 3.26 2.58 2.80 2.47 2.72 382 369
107 4.86 25.37 -0.008 -1.686 0.90 5.43 0.854 0.348 0.585 1.80 1.84 1.98 1.66 1.70 1.86 1543 1509
111 4.96 39.92 0.129 1.548 5.66 11.00 7.096 5.919 7.102 2.12 2.33 1.84 1.81 2.00 1.90 1318 1361
114 2.46 32.04 -0.287 -0.033 410.58 361.97 367.135 314.477 335.064 5.18 5.12 6.34 5.96 5.98 6.76 272 242
119 4.93 32.64 0.613 0.512 47.74 55.21 109.112 112.822 90.987 10.64 11.92 9.05 6.15 7.25 6.58 775 827
122 1.92 35.83 1.061 0.395 5.09 3.27 3.312 5.203 3.455 1.11 1.20 0.97 1.07 1.24 1.18 1096 1144
145 2.74 44.53 -0.875 -0.431 6.04 5.21 13.790 14.466 15.222 1.85 2.20 1.63 0.54 0.68 0.63 960 917
149 1.74 28.57 1.522 0.124 2.89 0.35 2.662 2.124 3.191 1.23 1.59 1.01 0.59 0.87 0.60 1470 1504
154 3.13 40.82 -0.246 -0.037 808.54 816.75 882.748 754.737 962.427 1.26 1.56 0.84 0.84 0.85 1.03 242 199
156 4.88 36.28 -0.088 1.741 3.74 4.61 5.019 6.778 7.468 0.96 0.84 0.91 1.20 1.07 1.10 1396 1426
157 2.01 18.77 -1.381 0.377 3.51 1.30 4.934 6.025 4.692 3.77 3.82 3.55 2.42 2.53 2.50 1370 1348
