0   1    2      3       4        5    6    7    8    9    10        11           12         13            14        15           16         17            18        19
#ID TA_E TA_ZEN TA_EAST TA_NORTH MIP0 MIP1 VEM0 VEM1 VEM2 UMQGS_AVG UMQGS_UC_STD UMEPOS_AVG UMEPOS_UC_STD CMQGS_AVG CMQGS_UC_STD CMEPOS_AVG CMEPOS_UC_STD AS_RHO_MC TA_RHO_MC
1 1.08 37.80 0.271 -1.114 5.61 5.98 11.826 11.794 11.165 4.98 1.86 4.50 1.77 2.90 1.14 3.05 1.21 1012 995
9 3.42 23.40 -0.876 0.960 6.63 4.79 15.230 18.851 12.917 5.33 1.85 4.95 1.83 2.90 1.15 3.13 1.27 1210 1218
12 4.25 43.52 -1.238 0.650 8.07 8.70 15.321 20.594 20.986 4.11 1.31 3.42 1.24 1.88 0.77 1.96 0.84 1078 1079
13 3.61 40.74 -0.137 -0.896 27.88 26.95 37.599 41.137 42.252 1.63 0.66 1.88 0.65 2.35 0.57 2.42 0.58 703 668
34 4.57 38.44 -1.250 -0.134 18.87 18.15 24.550 26.361 24.444 6.69 1.52 5.60 1.39 3.86 1.01 3.96 1.03 1105 1079
49 4.58 38.28 -0.402 0.709 34.36 43.29 51.581 60.142 57.745 5.20 1.17 4.15 1.05 2.78 0.85 2.63 0.83 811 825
53 2.05 37.44 -0.037 0.997 16.24 11.11 22.695 20.905 18.452 3.09 1.10 2.70 1.04 1.65 0.74 1.71 0.79 796 823
74 10.18 35.30 1.550 -0.205 2.23 5.54 14.663 13.979 15.129 2.94 1.39 2.38 1.19 1.29 0.69 1.35 0.71 1423 1442
80 7.57 22.23 -0.407 1.667 6.88 5.97 7.970 7.384 5.195 1.80 0.17 3.73 0.24 1.91 0.10 3.81 0.16 1580 1608
86 4.58 28.50 1.443 -1.212 2.57 0.24 0.957 1.005 1.158 1.21 0.64 1.43 0.74 1.02 0.51 1.15 0.59 1846 1843
90 3.30 5.41 -0.966 0.279 18.44 14.66 29.658 32.849 33.450 6.77 1.68 6.29 1.69 3.87 1.08 4.34 1.24 1016 994
96 2.22 38.66 0.836 -0.431 28.01 31.43 54.456 47.582 51.450 9.91 1.63 9.17 1.51 5.93 1.07 6.17 1.11 772 793
105 4.84 31.94 -0.328 0.234 502.87 544.61 465.144 503.049 548.793 3.17 0.73 2.66 0.76 2.84 0.71 2.76 0.67 382 369
107 4.86 25.37 -0.008 -1.686 0.90 5.43 0.854 0.348 0.585 2.04 0.59 2.12 0.55 1.89 0.44 2.08 0.50 1543 1509
111 4.96 39.92 0.129 1.548 5.66 11.00 7.096 5.919 7.102 2.52 1.13 2.25 1.02 2.03 0.95 2.19 1.00 1318 1361
114 2.46 32.04 -0.287 -0.033 410.58 361.97 367.135 314.477 335.064 5.20 0.27 6.35 0.28 5.97 0.25 6.77 0.25 272 242
119 4.93 32.64 0.613 0.512 47.74 55.21 109.112 112.822 90.987 10.73 1.57 9.13 1.40 6.25 1.03 6.69 1.10 775 827
122 1.92 35.83 1.061 0.395 5.09 3.27 3.312 5.203 3.455 1.69 0.86 1.47 0.73 1.42 0.67 1.51 0.71 1096 1144
145 2.74 44.53 -0.875 -0.431 6.04 5.21 13.790 14.466 15.222 2.08 1.02 1.90 1.03 0.95 0.49 1.10 0.59 960 917
149 1.74 28.57 1.522 0.124 2.89 0.35 2.662 2.124 3.191 2.08 1.06 1.79 0.98 1.39 0.72 1.45 0.76 1470 1504
154 3.13 40.82 -0.246 -0.037 808.54 816.75 882.748 754.737 962.427 1.27 0.29 0.89 0.15 0.88 0.10 1.06 0.16 242 199
156 4.88 36.28 -0.088 1.741 3.74 4.61 5.019 6.778 7.468 1.77 0.92 1.55 0.83 1.24 0.66 1.28 0.66 1396 1426
157 2.01 18.77 -1.381 0.377 3.51 1.30 4.934 6.025 4.692 2.85 1.50 2.70 1.41 1.78 0.91 1.88 0.98 1370 1348
165 4.24 22.79 -0.536 0.808 11.06 6.25 12.673 11.231 11.322 1.75 0.76 1.85 0.71 2.22 0.58 2.13 0.59 967 982
181 3.24 16.29 -0.023 -0.361 64.59 72.81 82.261 79.912 96.314 10.54 0.14 10.71 0.13 10.10 0.12 10.42 0.13 355 317
188 3.11 41.15 0.742 0.680 11.71 13.36 46.895 47.384 57.561 8.04 1.80 6.76 1.61 4.22 1.17 4.21 1.19 857 901

